author,work,metronome,meter
Medhātithi Kāṇva,b01_h018_01,SSS.wwwS.|wwS.SwS.wS.|SSSS.w.SwS|,gāyatrī
Medhātithi Kāṇva,b01_h018_02,S.SS.S.wSwS.|wwS.SwSwS.|w.S.wSw.S.wS|,gāyatrī
Medhātithi Kāṇva,b01_h018_03,S.S.SS.wwwS.|SS.wS.SwSw.|SS.S.SwS.wS|,gāyatrī
Medhātithi Kāṇva,b01_h018_04,w.S.SS.w.Sww.|w.SS.SwS.wS.|SS.wSw.SwS|,gāyatrī
Medhātithi Kāṇva,b01_h018_05,wS.S.SwS.wS.|Sw.SS.w.SwS.|SwS.Sw.SwS|,gāyatrī
Medhātithi Kāṇva,b01_h018_06,wwS.ww.SwS.|ww.SSw.SwS.|wS.SS.wSwS|,gāyatrī
Medhātithi Kāṇva,b01_h018_07,SS.wS.w.Sww.|SS.wSwS.ww.|w.SS.Sw.Sww|,gāyatrī
Medhātithi Kāṇva,b01_h018_08,S.SSw.wSwS.|SS.wSw.SwS.|SS.SSw.Sww|,gāyatrī
Medhātithi Kāṇva,b01_h018_09,wSSS.wSww.|wSS.SwSwS.|wS.w.SwwwS|,gāyatrī
Medhātithi Kāṇva,b01_h019_01,wS.S.Sw.SwS.|SSSS.w.SwS.|wSw.Sw.S.ww|,gāyatrī
Medhātithi Kāṇva,b01_h019_02,ww.SS.w.SwS.|wS.wS.wS.wS.|wSw.Sw.S.ww|,gāyatrī
Medhātithi Kāṇva,b01_h019_03,S.wS.wwS.wS.|SS.SSS.SwS.|wSw.Sw.S.ww|,gāyatrī
Medhātithi Kāṇva,b01_h019_04,w.SS.Sw.Sww.|wSSSw.SwS.|wSw.Sw.S.ww|,gāyatrī
Medhātithi Kāṇva,b01_h019_05,S.SS.SwSwS.|SSSS.wSwS.|wSw.Sw.S.ww|,gāyatrī
Medhātithi Kāṇva,b01_h019_06,S.SSSw.SwS.|ww.SSw.SwS.|wSw.Sw.S.ww|,gāyatrī
Medhātithi Kāṇva,b01_h019_07,w.SwSw.SwS.|wS.wSw.SwS.|wSw.Sw.S.ww|,gāyatrī
Medhātithi Kāṇva,b01_h019_08,S.S.SSw.SwS.|wS.wSw.SwS.|wSw.Sw.S.ww|,gāyatrī
Medhātithi Kāṇva,b01_h019_09,wS.S.SwSwS.|wSw.SwS.ww.|wSw.Sw.S.ww|,gāyatrī
Medhātithi Kāṇva,b01_h020_01,wS.SSw.SwS.|SS.SSw.SwS.|wSw.SwSwS|,gāyatrī
Medhātithi Kāṇva,b01_h020_02,w.SSw.wSwS.|wSS.wwS.wS.|wSS.Sw.Sww|,gāyatrī
Medhātithi Kāṇva,b01_h020_03,SS.SwwSwS.|wSSS.wS.wS.|SS.SS.wSwS|,gāyatrī
Medhātithi Kāṇva,b01_h020_04,wSS.wwS.wS.|SwSS.wSww.|wwS.Sw.Sww|,gāyatrī
Medhātithi Kāṇva,b01_h020_05,S.S.wSS.Sww.|SSw.w.wSwS.|SSSS.w.SwS|,gāyatrī
Medhātithi Kāṇva,b01_h020_06,wS.S.wwS.wS.|SS.SSw.Sww.|wSw.wwS.wS|,gāyatrī
Medhātithi Kāṇva,b01_h020_07,S.S.SSw.SwS.|w.S.SSw.SwS.|SwSS.wSwS|,gāyatrī
